course_title,is_paid,price,num_subscribers,level,published_timestamp,subject,categ_price,categ_duration,sales,comisiones,costos
Instant Harmonica - play The Kesh (part 2) - easy and fun!,True,20,53,Beginner Level,17-08-2015,Musical Instruments,0-50,0-2,1060,7.4,392.20000000000005
The 80/20 Guitar: Write Music and Play Guitar in 30 Days,False,0,2610,All Levels,20-04-2016,Musical Instruments,0-50,2-4,0,0.0,0.0
Ukulele 2 : Level 1 KEY OF C AND STRUMS,True,20,26,Beginner Level,01-02-2016,Musical Instruments,0-50,0-2,520,7.4,192.4
Guitar for Music Educators: Learning How to Teach Guitar,True,20,32,Beginner Level,26-07-2013,Musical Instruments,0-50,0-2,640,7.4,236.8
Piano Tutorial : Ludovico Einaudi - Una Mattina,False,0,1631,All Levels,23-11-2015,Musical Instruments,0-50,0-2,0,0.0,0.0
Guitar Solo - Theory and Improvisation Lessons,True,60,12,Intermediate Level,11-04-2017,Musical Instruments,50-100,0-2,720,22.2,266.4
Bluegrass Guitar Essentials: Webisodes 3 & 4,True,30,12,Intermediate Level,24-03-2016,Musical Instruments,0-50,0-2,360,11.1,133.2
Instant Harmonica - play Christmas + Birthday songs now!,True,40,236,All Levels,18-05-2016,Musical Instruments,0-50,0-2,9440,14.8,3492.8
Blues Master - Advanced Techniques Piano Course,True,75,7,All Levels,29-03-2016,Musical Instruments,50-100,0-2,525,27.75,194.25
Bluegrass Guitar Essentials: Webisodes 5 & 6,True,30,11,Intermediate Level,13-04-2016,Musical Instruments,0-50,2-4,330,11.1,122.1
Trombone Lessons For Beginners,True,95,11,Beginner Level,14-04-2016,Musical Instruments,50-100,2-4,1045,35.15,386.65
Rhythm to Rock Drum Lesson 6,True,20,12,Beginner Level,21-08-2014,Musical Instruments,0-50,0-2,240,7.4,88.80000000000001
Flute Pro Series - You're about to love practicing the flute,True,50,135,All Levels,01-04-2016,Musical Instruments,0-50,6-8,6750,18.5,2497.5
How To Play Guitar - Everything You Need To Know To Start,True,50,5,Beginner Level,21-07-2015,Musical Instruments,0-50,0-2,250,18.5,92.5
Trombone Pro Series - Fall in love with the Trombone,True,50,57,All Levels,22-04-2016,Musical Instruments,0-50,6-8,2850,18.5,1054.5
Learn How To Play 25 Classic Hip Hop Songs Ch.2,True,25,7,All Levels,23-05-2017,Musical Instruments,0-50,2-4,175,9.25,64.75
Learn to play tunes by ear on harmonica - no written music,True,35,73,Intermediate Level,23-03-2014,Musical Instruments,0-50,0-2,2555,12.95,945.3499999999999
Fingerpicking for Guitar,True,20,35,All Levels,14-09-2016,Musical Instruments,0-50,2-4,700,7.4,259.0
"Music Theory, Guitar and Ear Training",True,60,30,Beginner Level,22-11-2015,Musical Instruments,50-100,2-4,1800,22.2,666.0
"Piano Unbound. Piano learning method, a course for beginners",True,195,32,All Levels,25-04-2017,Musical Instruments,150-200,2-4,6240,72.15,2308.8
Advanced Trombone Studies - Learn to Master the Trombone!,True,50,39,All Levels,05-07-2016,Musical Instruments,0-50,6-8,1950,18.5,721.5
"Euphonium Solos: Learn to Perform Three Fun, Unique Pieces!",True,50,90,All Levels,16-04-2015,Musical Instruments,0-50,2-4,4500,18.5,1665.0
Piano With Willie: Tritones & Phat Chords,True,40,37,Intermediate Level,13-04-2016,Musical Instruments,0-50,0-2,1480,14.8,547.6
Piano for Kids: Developing Your Child's Creative Abilities,True,65,42,Beginner Level,24-10-2015,Musical Instruments,50-100,2-4,2730,24.05,1010.1
Piano Lessons For The Hip Hop Fan,True,20,276,Intermediate Level,12-05-2014,Musical Instruments,0-50,4-6,5520,7.4,2042.4
French Horn Solos: Learn how to Perform Three Fun Pieces!,True,50,88,All Levels,24-09-2015,Musical Instruments,0-50,2-4,4400,18.5,1628.0
Bluegrass Guitar Essentials: Webisodes 9 & 10,True,30,10,Intermediate Level,06-08-2016,Musical Instruments,0-50,0-2,300,11.1,111.0
Clarinet Lessons For Beginners,True,95,11,Beginner Level,26-02-2016,Musical Instruments,50-100,2-4,1045,35.15,386.65
Play music on Harmonica using 8 notes - learn easy tunes!,True,35,29,Beginner Level,26-05-2014,Musical Instruments,0-50,0-2,1015,12.95,375.54999999999995
Learn Piano Online-A Quiet Solace Piano Solo,True,50,7,Intermediate Level,29-08-2016,Musical Instruments,0-50,0-2,350,18.5,129.5
Bluegrass Guitar Essentials: Webisodes 7 & 8,True,30,9,Intermediate Level,05-05-2016,Musical Instruments,0-50,0-2,270,11.1,99.89999999999999
The Art of the Blues Shuffle - A Guitarist's Guide,True,20,8,Intermediate Level,26-06-2016,Musical Instruments,0-50,0-2,160,7.4,59.2
Learn Piano Online-Ambiance Piano Solo,True,50,8,Intermediate Level,21-06-2016,Musical Instruments,0-50,0-2,400,18.5,148.0
Piano Lessons For Beginners,True,95,8,Beginner Level,12-04-2016,Musical Instruments,50-100,2-4,760,35.15,281.2
The Theory & Practice of Modes on the Guitar,True,35,17,Intermediate Level,04-04-2014,Musical Instruments,0-50,0-2,595,12.95,220.14999999999998
Learn How To Play The Trumpet,True,75,2,All Levels,19-06-2017,Musical Instruments,50-100,0-2,150,27.75,55.5
Violin for Beginners,True,50,4,Beginner Level,07-03-2017,Musical Instruments,0-50,0-2,200,18.5,74.0
Beginner Acoustic Guitar Lessons,True,25,8,Beginner Level,28-10-2015,Musical Instruments,0-50,0-2,200,9.25,74.0
Aprendiendo Piano: Tocando piezas populares Vol.I,True,100,122,Beginner Level,14-11-2015,Musical Instruments,50-100,2-4,12200,37.0,4514.0
Curso de Bateria - Explorando Diferentes Divisões,True,55,5,Intermediate Level,18-05-2017,Musical Instruments,50-100,0-2,275,20.35,101.75
Escalas Pentatónicas para guitarristas,True,25,11,All Levels,02-06-2017,Musical Instruments,0-50,0-2,275,9.25,101.75
Brass Master Class,True,20,36,All Levels,09-06-2015,Musical Instruments,0-50,0-2,720,7.4,266.40000000000003
Enseñando música: mejora tus clases de instrumento ,True,30,111,Beginner Level,07-10-2015,Musical Instruments,0-50,0-2,3330,11.1,1232.1
Ukelele exprés: aprende a tocar en menos de un mes,False,0,888,Beginner Level,17-10-2016,Musical Instruments,0-50,0-2,0,0.0,0.0
Curso de Guitarra para Principiantes,True,20,53,Beginner Level,01-06-2016,Musical Instruments,0-50,2-4,1060,7.4,392.20000000000005
Mundharmonika spielen - mein schönstes Hobby,True,20,65,Beginner Level,09-06-2015,Musical Instruments,0-50,2-4,1300,7.4,481.0
Aprende el acordeón de oído y con técnica –Nivel Intermedio–,True,25,38,Intermediate Level,03-02-2016,Musical Instruments,0-50,4-6,950,9.25,351.5
Présentation du Banjo Ténor,True,20,18,Beginner Level,13-09-2015,Musical Instruments,0-50,0-2,360,7.4,133.20000000000002
Aprende a tocar el acordeón de botones,True,50,22,All Levels,19-05-2014,Musical Instruments,0-50,2-4,1100,18.5,407.0
Aprendiendo piano: Lectura de piezas clásicas Vol.I,True,50,211,Beginner Level,08-10-2015,Musical Instruments,0-50,0-2,10550,18.5,3903.5
Pedais de efeito para Contrabaixo,True,50,10,All Levels,26-08-2016,Musical Instruments,0-50,2-4,500,18.5,185.0
Mantenimiento y octavación para guitarras eléctricas,True,35,12,All Levels,27-04-2016,Musical Instruments,0-50,0-2,420,12.95,155.39999999999998
Aprende a tocar el violín desde cero,True,50,17,All Levels,19-05-2014,Musical Instruments,0-50,2-4,850,18.5,314.5
Aprende a tocar el teclado como los expertos,True,50,11,All Levels,09-05-2014,Musical Instruments,0-50,2-4,550,18.5,203.5
Aprende a tocar el saxofón como siempre has querido,True,20,8,All Levels,16-05-2014,Musical Instruments,0-50,2-4,160,7.4,59.2
Guitarra para principiantes,True,20,7,Beginner Level,22-01-2015,Musical Instruments,0-50,0-2,140,7.4,51.800000000000004
Aprende a tocar flauta transversal sin complicaciones,True,50,6,All Levels,19-05-2014,Musical Instruments,0-50,2-4,300,18.5,111.0
Aprende a tocar las escalas en el acordeón de botones.,True,20,2,Beginner Level,17-06-2017,Musical Instruments,0-50,0-2,40,7.4,14.8
Curso de Violão Prático,True,70,5,Beginner Level,12-04-2017,Musical Instruments,50-100,0-2,350,25.9,129.5
"Aprende a tocar percusiones: congas, bongós, maracas y más",True,50,14,All Levels,16-05-2014,Musical Instruments,0-50,2-4,700,18.5,259.0
Gitarre spielen - mein schönstes Hobby,True,20,11,Beginner Level,09-06-2015,Musical Instruments,0-50,0-2,220,7.4,81.4
Aprende a tocar la guitarra acústica como un profesional,True,50,11,All Levels,05-05-2014,Musical Instruments,0-50,2-4,550,18.5,203.5
Guitar Lesson - Five Steps to Learn Barre Chords,True,35,57,All Levels,15-03-2015,Musical Instruments,0-50,0-2,1995,12.95,738.15
"Easy Piano Basics™ - Learn Piano, No Prior Experience Needed",True,20,377,All Levels,30-01-2014,Musical Instruments,0-50,0-2,7540,7.4,2789.8
Guitar Technique Mastery: The Ultimate Chop Building Workout,True,20,273,All Levels,16-01-2014,Musical Instruments,0-50,0-2,5460,7.4,2020.2
Inside Drum Technique,True,50,406,All Levels,13-12-2013,Musical Instruments,0-50,0-2,20300,18.5,7511.0
"Learn to Play Tarrega, Bach, and Sor on Classical Guitar",True,195,556,Intermediate Level,27-01-2014,Musical Instruments,150-200,2-4,108420,72.15,40115.4
Create Beautiful Music On The Piano Like a Pro In Minutes,True,95,115,All Levels,10-08-2015,Musical Instruments,50-100,0-2,10925,35.15,4042.25
Instant Harmonica - play the great Irish tune Molly Malone!,True,20,420,Beginner Level,23-07-2015,Musical Instruments,0-50,0-2,8400,7.4,3108.0
Instant Harmonica - play 'Can't Help Falling in Love' now!,True,40,32,All Levels,07-02-2017,Musical Instruments,0-50,0-2,1280,14.8,473.6
Arpeggios for Guitar made Easy! Dominate the Fretboard,True,65,26,All Levels,02-05-2017,Musical Instruments,50-100,2-4,1690,24.05,625.3000000000001
Guitar Lessons - The Modal System - Modes Essentials,True,45,116,All Levels,14-02-2016,Musical Instruments,0-50,0-2,5220,16.65,1931.3999999999999
Learn to Play Percussion: Beginner to Pro made the Easy Way!,True,50,425,All Levels,16-01-2015,Musical Instruments,0-50,4-6,21250,18.5,7862.5
Modern Piano Lessons For Beginners,True,20,736,Beginner Level,01-04-2014,Musical Instruments,0-50,4-6,14720,7.4,5446.400000000001
World Percussion: Complete Lessons for Everyone,True,40,68,All Levels,14-11-2016,Musical Instruments,0-50,2-4,2720,14.8,1006.4000000000001
Learn Lion (Saroo) Soundtrack On The Piano By Ear,True,20,104,All Levels,24-04-2017,Musical Instruments,0-50,0-2,2080,7.4,769.6
Acoustic Blues Guitar Lessons,True,75,189,Intermediate Level,10-01-2016,Musical Instruments,50-100,4-6,14175,27.75,5244.75
Play Guitar and Understand Music Quick & Easy in 28 Days!,True,20,738,All Levels,13-10-2012,Musical Instruments,0-50,8-10,14760,7.4,5461.2
Learn How to Play the Violin - Violin Basics,True,20,365,Beginner Level,13-08-2014,Musical Instruments,0-50,0-2,7300,7.4,2701.0
Swing Low - The 101 Authentic Nashville Piano Style Course,True,20,146,All Levels,30-01-2014,Musical Instruments,0-50,0-2,2920,7.4,1080.4
Guitar:Play 5 Easy Christmas Chord Progressions On Guitar,True,50,383,Beginner Level,11-11-2015,Musical Instruments,0-50,0-2,19150,18.5,7085.5
Get Piano Skills TODAY!!! ,True,100,92,All Levels,05-11-2014,Musical Instruments,50-100,2-4,9200,37.0,3404.0
Learn the Violin - Scales and Fundamentals,True,80,291,Beginner Level,28-10-2015,Musical Instruments,50-100,2-4,23280,29.6,8613.6
Piano With Willie Building Technique with Scales Vol. 2,True,40,61,All Levels,13-04-2016,Musical Instruments,0-50,0-2,2440,14.8,902.8000000000001
Master Flute Playing: Intermediate Instruction Made Simple!,True,50,288,Intermediate Level,29-10-2014,Musical Instruments,0-50,4-6,14400,18.5,5328.0
How to Sing and Play the Guitar (at the same time),True,20,78,Beginner Level,18-07-2016,Musical Instruments,0-50,0-2,1560,7.4,577.2
"Super Beginner Guitar - start right, start awesome",True,30,594,Beginner Level,26-11-2014,Musical Instruments,0-50,0-2,17820,11.1,6593.4
"Introduction to Guitar 'A Course for Beginners"",https://www.udemy.com/introduction-to-guitar/,true,25,163,11,56,Beginner Level,2.5 hours,2014-10-30T15:59:39Z
650804,Guitar  Master Class Learning How to Play Guitar from A to Z""",True,40,489,All Levels,26-10-2015,Musical Instruments,0-50,2-4,19560,14.8,7237.200000000001
Rhythm to Rock Drum Lesson 5,True,20,13,Beginner Level,18-08-2014,Musical Instruments,0-50,0-2,260,7.4,96.2
Gibson's Learn & Master Guitar,True,50,103,All Levels,30-10-2014,Musical Instruments,0-50,>10,5150,18.5,1905.5
Master the Trombone: Intermediate Instruction Made Simple!,True,50,231,All Levels,04-03-2015,Musical Instruments,0-50,8-10,11550,18.5,4273.5
Walking Bass Fundamentals,True,50,44,All Levels,13-03-2017,Musical Instruments,0-50,0-2,2200,18.5,814.0
Circular Breathing for musicians - practical skills,True,25,261,All Levels,06-11-2014,Musical Instruments,0-50,0-2,6525,9.25,2414.25
Electric Bass for Busy Beginners Course 1,True,50,114,All Levels,27-04-2015,Musical Instruments,0-50,0-2,5700,18.5,2109.0
Guitar for Absolute Beginners (Class 1),True,20,45,Beginner Level,01-05-2014,Musical Instruments,0-50,0-2,900,7.4,333.0
Tenor Banjo for Absolute Beginners,False,0,3167,Beginner Level,19-07-2014,Musical Instruments,0-50,0-2,0,0.0,0.0
Guitar Lessons - 50 Essential Fast Legato Licks,True,35,105,Intermediate Level,15-02-2016,Musical Instruments,0-50,2-4,3675,12.95,1359.75
Aprenda a tocar Pandeiro - Curso Iniciante - Samba/Choro,True,90,85,Beginner Level,21-08-2016,Musical Instruments,50-100,0-2,7650,33.3,2830.4999999999995
Aprende batería con el nuevo método IDT,True,20,335,All Levels,24-12-2012,Musical Instruments,0-50,0-2,6700,7.4,2479.0
5 lecciones que todo guitarrista debe tomar,False,0,4452,Beginner Level,23-08-2014,Musical Instruments,0-50,0-2,0,0.0,0.0
Los 7 Acordes para Tocarlo Todo en un fin de semana,True,20,332,Beginner Level,06-07-2013,Musical Instruments,0-50,0-2,6640,7.4,2456.8
Curso de Violão Popular,True,25,287,Beginner Level,27-01-2016,Musical Instruments,0-50,4-6,7175,9.25,2654.75
Aprendiendo Piano: Ejercicios de calentamiento,False,0,1876,Beginner Level,27-04-2016,Musical Instruments,0-50,0-2,0,0.0,0.0
Aprendiendo piano: Lectura de piezas clásicas Vol.II,True,40,113,Beginner Level,29-06-2016,Musical Instruments,0-50,0-2,4520,14.8,1672.4
"Aprende a tocar el Acordeón 'de oído y con técnica"",https://www.udemy.com/aprende-a-tocar-el-acordeon-de-oido-y-con-tecnica/,true,25,93,21,34,Beginner Level,4 hours,2014-09-16T19:51:45Z
263432,Aprende los Secretos de la Armónica con HARP&SOUL""",True,75,158,All Levels,28-07-2014,Musical Instruments,50-100,2-4,11850,27.75,4384.5
Guitarra Desde Cero - PARTE 1,True,35,480,Beginner Level,27-12-2014,Musical Instruments,0-50,6-8,16800,12.95,6216.0
Super-Curso de Guitarra Práctico Para Principiantes,True,85,228,Beginner Level,30-06-2014,Musical Instruments,50-100,>10,19380,31.45,7170.599999999999
Explosão Pentatônica,True,55,42,All Levels,22-12-2016,Musical Instruments,50-100,0-2,2310,20.35,854.7
Complete Beginners Introduction to Guitar,True,40,10,Beginner Level,27-02-2017,Musical Instruments,0-50,0-2,400,14.8,148.0
Learn 10 Scottish Tunes Piano Easy Level,True,45,103,Beginner Level,20-02-2017,Musical Instruments,0-50,2-4,4635,16.65,1714.9499999999998
Fingerpicking Fundamentals,True,20,75,Beginner Level,01-11-2015,Musical Instruments,0-50,0-2,1500,7.4,555.0
Piano With A Pro,True,25,66,All Levels,05-05-2014,Musical Instruments,0-50,2-4,1650,9.25,610.5
Piano Lessons for Beginners: Play the Piano AND Read Music!,True,70,61,Beginner Level,12-02-2016,Musical Instruments,50-100,2-4,4270,25.9,1579.8999999999999
Master the Tuba - Intermediate Instruction Made Simple!,True,50,184,Intermediate Level,15-04-2015,Musical Instruments,0-50,8-10,9200,18.5,3404.0
The Fun and Effective Piano Course,True,30,24,All Levels,24-04-2017,Musical Instruments,0-50,2-4,720,11.1,266.4
Advanced Flute Studies - Learn to Master the Flute!​,True,50,205,All Levels,07-09-2015,Musical Instruments,0-50,4-6,10250,18.5,3792.5
Alternate Picking Speed & Accuracy,True,20,19,All Levels,12-05-2016,Musical Instruments,0-50,2-4,380,7.4,140.6
"Master the Euphonium with Simple, Intermediate Instruction!",True,50,120,Intermediate Level,16-04-2015,Musical Instruments,0-50,6-8,6000,18.5,2220.0
Master the Clarinet: Intermediate Instruction Made Simple!,True,50,232,All Levels,01-01-2015,Musical Instruments,0-50,6-8,11600,18.5,4292.0
Advanced Clarinet Studies - Learn to Master the Clarinet!,True,50,148,All Levels,01-01-2015,Musical Instruments,0-50,4-6,7400,18.5,2738.0
Aprende a tocar ritmo pop en el piano y teclado,True,20,10,All Levels,16-05-2014,Musical Instruments,0-50,0-2,200,7.4,74.0
Aprendiendo Piano: Tocando piezas populares Vol.II,True,100,72,Beginner Level,31-03-2016,Musical Instruments,50-100,0-2,7200,37.0,2664.0
Comment jouer du Pianoforte,True,100,172,All Levels,02-05-2016,Musical Instruments,50-100,2-4,17200,37.0,6364.0
Aprende a tocar blues en el piano y teclado,True,50,10,All Levels,09-05-2014,Musical Instruments,0-50,2-4,500,18.5,185.0
ABC DO VIOLÃO E GUITARRA,True,85,25,Beginner Level,03-03-2017,Musical Instruments,50-100,2-4,2125,31.45,786.25
Suonare la Chitarra,True,200,1,All Levels,21-06-2017,Musical Instruments,150-200,0-2,200,74.0,74.0
Aprende todos los secretos de la guitarra flamenca,True,50,13,All Levels,07-05-2014,Musical Instruments,0-50,2-4,650,18.5,240.5
こどもギターレッスン　リトルギタリストⅠ,True,20,69,Beginner Level,07-11-2015,Musical Instruments,0-50,2-4,1380,7.4,510.6
Aprende cómo tocar el Bajo Sexto,True,50,10,All Levels,19-05-2014,Musical Instruments,0-50,2-4,500,18.5,185.0
Coach Guitar - Apprendre la GUITARE facile avec des COULEURS,True,50,25,All Levels,27-12-2016,Musical Instruments,0-50,2-4,1250,18.5,462.5
Sistema Completo De Guitarra Rítmica Para Principiantes,True,55,21,Beginner Level,27-02-2016,Musical Instruments,50-100,4-6,1155,20.35,427.35
Curso de batería online de Patricio Iglesias (Santa Sabina),True,35,5,Intermediate Level,28-03-2017,Musical Instruments,0-50,2-4,175,12.95,64.75
"Learn Piano with Beyer, 15 Minutes Challenge",True,65,418,All Levels,21-07-2016,Musical Instruments,50-100,2-4,27170,24.05,10052.9
"Classical Guitar Master Class: 'Alman  """,True,195,113,Intermediate Level,21-04-2015,Musical Instruments,150-200,0-2,22035,72.15,8152.950000000001
Blues Accelerator - 21 Days to Blues Guitar Mastery,True,50,78,Beginner Level,16-01-2014,Musical Instruments,0-50,6-8,3900,18.5,1443.0
Alto Saxophone Lessons For Beginners,True,95,51,Beginner Level,23-03-2016,Musical Instruments,50-100,2-4,4845,35.15,1792.6499999999999
Instant Harmonica - Christmas; play Jingle Bells part 2 now!,True,20,58,All Levels,17-12-2015,Musical Instruments,0-50,0-2,1160,7.4,429.20000000000005
Piano With Willie: Jazz & Gospel Exercises,True,40,56,Intermediate Level,13-04-2016,Musical Instruments,0-50,0-2,2240,14.8,828.8000000000001
Bending the blue notes to give you killer sound on harmonica,True,35,162,Intermediate Level,02-03-2014,Musical Instruments,0-50,0-2,5670,12.95,2097.9
"Beginner's Guitar: Tuning, Strumming, and Chords!",False,0,2577,Beginner Level,03-07-2015,Musical Instruments,0-50,0-2,0,0.0,0.0
Instant Harmonica - play The Lion Sleeps Tonight - today!,True,20,62,Beginner Level,21-08-2015,Musical Instruments,0-50,0-2,1240,7.4,458.8
Piano With Willie Building Technique with Scales Vol. 3,True,40,42,All Levels,13-04-2016,Musical Instruments,0-50,0-2,1680,14.8,621.6
Instant Bodhran - part two; learning further drumming skills,True,40,28,Beginner Level,18-08-2016,Musical Instruments,0-50,0-2,1120,14.8,414.40000000000003
Guitar Essentials,True,20,261,Beginner Level,07-05-2014,Musical Instruments,0-50,0-2,5220,7.4,1931.4
Rhythm to Rock Drum Lessons,True,20,44,Beginner Level,02-02-2014,Musical Instruments,0-50,0-2,880,7.4,325.6
Learn to play and improve 12 bar blues harmonica solos,True,40,4,Beginner Level,29-06-2017,Musical Instruments,0-50,0-2,160,14.8,59.2
Learn to improvise on your harmonica - in nice easy steps,True,35,98,Beginner Level,16-03-2014,Musical Instruments,0-50,0-2,3430,12.95,1269.1
Learning Electric Guitar for Absolute Beginners,True,35,19,Beginner Level,04-05-2015,Musical Instruments,0-50,0-2,665,12.95,246.04999999999998
Advanced Bassoon Studies - Learn to Master the Bassoon!​,True,50,197,All Levels,15-04-2015,Musical Instruments,0-50,6-8,9850,18.5,3644.5
Blues Guitar Lessons: Play Like the Greats - All Levels,True,20,58,All Levels,17-11-2015,Musical Instruments,0-50,2-4,1160,7.4,429.20000000000005
Instant Harmonica - play Whiskey in the Jar + Molly Malone!,True,40,21,All Levels,20-09-2016,Musical Instruments,0-50,0-2,840,14.8,310.8
Learn To Play Trumpet Fast Using The Passive Trumpet Tutor,True,50,92,All Levels,27-01-2014,Musical Instruments,0-50,0-2,4600,18.5,1702.0
Electric Bass Right From The Start,True,100,239,Beginner Level,14-03-2016,Musical Instruments,50-100,0-2,23900,37.0,8843.0
Beginner Guitar Essentials,True,95,5,Beginner Level,06-08-2015,Musical Instruments,50-100,4-6,475,35.15,175.75
Advanced Tuba Studies - Become a Master of the Tuba!​,True,50,173,All Levels,15-04-2015,Musical Instruments,0-50,4-6,8650,18.5,3200.5
'Greensleeves' Creative Piano Lessons Course,True,20,10,All Levels,03-01-2017,Musical Instruments,0-50,0-2,200,7.4,74.0
Rhythm to Rock Drum Lesson 4,True,20,12,Beginner Level,18-08-2014,Musical Instruments,0-50,0-2,240,7.4,88.80000000000001
Hands On Guitar: Beyond Beginner,True,20,54,Beginner Level,22-01-2016,Musical Instruments,0-50,2-4,1080,7.4,399.6
Instant harmonica - play Auld Lang Syne the neet (tonight)!,True,40,28,All Levels,22-12-2016,Musical Instruments,0-50,0-2,1120,14.8,414.40000000000003
Piano The Hard Way -  Fast Way To Life Long Piano Enjoyment,True,25,238,Beginner Level,19-02-2014,Musical Instruments,0-50,0-2,5950,9.25,2201.5
The Ultimate Method for Learning Modern Piano & Keyboards,True,25,512,All Levels,03-11-2014,Musical Instruments,0-50,2-4,12800,9.25,4736.0
Master the Bassoon - Intermediate Instruction Made Simple!,True,50,177,All Levels,15-04-2015,Musical Instruments,0-50,6-8,8850,18.5,3274.5
Oboe Pro Series - You're going to love practicing the Oboe,True,50,61,All Levels,08-04-2016,Musical Instruments,0-50,6-8,3050,18.5,1128.5
Instant Harmonica - play this classic GAME OF THRONES theme!,True,40,21,Beginner Level,30-05-2017,Musical Instruments,0-50,0-2,840,14.8,310.8
"Trumpet Solos: Learn how to Perform Three Fun, Unique Pieces",True,50,115,Intermediate Level,25-03-2014,Musical Instruments,0-50,2-4,5750,18.5,2127.5
Learn 4 Vital things that will make your DRUM PLAYING EASIER,True,35,510,All Levels,13-08-2015,Musical Instruments,0-50,0-2,17850,12.95,6604.5
Sax Solos: Learn how to Perform Three Fun and Unique Pieces!,True,50,147,Intermediate Level,17-03-2014,Musical Instruments,0-50,0-2,7350,18.5,2719.5
Traditional-Style Electric Blues Guitar For Beginners,True,25,9,Beginner Level,22-06-2017,Musical Instruments,0-50,2-4,225,9.25,83.25
Aprende a tocar los mejores solos en la guitarra eléctrica,True,30,5,All Levels,07-05-2014,Musical Instruments,0-50,0-2,150,11.1,55.5
Aprende a tocar la guitarra,True,50,7,All Levels,22-02-2013,Musical Instruments,0-50,0-2,350,18.5,129.5
Aprende a tocar el piano desde cero,True,50,4,All Levels,30-04-2014,Musical Instruments,0-50,2-4,200,18.5,74.0
Aprende a tocar el clarinete.  ,True,50,4,All Levels,19-05-2014,Musical Instruments,0-50,2-4,200,18.5,74.0
Ahora aprende a tocar jazz en el piano,True,30,4,All Levels,09-05-2014,Musical Instruments,0-50,0-2,120,11.1,44.4
こどもギターレッスン　リトルギタリストⅡ,True,20,2,Beginner Level,18-02-2016,Musical Instruments,0-50,2-4,40,7.4,14.8
Aprende a tocar el contrabajo sin complicaciones,True,50,3,All Levels,19-05-2014,Musical Instruments,0-50,2-4,150,18.5,55.5
Aprende a tocar la guitarra eléctrica,True,50,3,All Levels,30-04-2014,Musical Instruments,0-50,4-6,150,18.5,55.5
Aprende a improvisar en la guitarra eléctrica,True,50,3,All Levels,05-05-2014,Musical Instruments,0-50,2-4,150,18.5,55.5
Curso de Teclado,True,40,1,Beginner Level,16-05-2016,Musical Instruments,0-50,0-2,40,14.8,14.8
Guitarra Acústica en Siete Días,True,20,1,Beginner Level,29-01-2016,Musical Instruments,0-50,2-4,20,7.4,7.4
improvisación de Guitarra,True,20,1,All Levels,24-03-2015,Musical Instruments,0-50,0-2,20,7.4,7.4
Step by Step Classical Guitar Course,True,100,9,Beginner Level,08-12-2016,Musical Instruments,50-100,4-6,900,37.0,333.0
Piano With Willie Building Technique with Scales Vol. 4,True,40,44,All Levels,12-04-2016,Musical Instruments,0-50,0-2,1760,14.8,651.2
Back In Black the AC/DC Classic Rock Track,True,20,13,Intermediate Level,10-04-2015,Musical Instruments,0-50,0-2,260,7.4,96.2
Keyboard Basics,True,25,17,All Levels,22-04-2014,Musical Instruments,0-50,0-2,425,9.25,157.25
Beginner Guitar Lessons,True,20,118,Beginner Level,23-03-2015,Musical Instruments,0-50,0-2,2360,7.4,873.2
Guitar Fundamentals for Beginners,True,25,5,Beginner Level,22-02-2016,Musical Instruments,0-50,0-2,125,9.25,46.25
Easy Piano - learn and play along,True,20,11,Beginner Level,14-05-2014,Musical Instruments,0-50,0-2,220,7.4,81.4
Learn Piano: The Basics of Keyboards,True,20,113,Beginner Level,03-01-2015,Musical Instruments,0-50,0-2,2260,7.4,836.2
Bassoon Pro Series - You're going to love practicing Bassoon,True,50,36,All Levels,08-04-2016,Musical Instruments,0-50,6-8,1800,18.5,666.0
Acoustic Guitar Lessons For Beginners,True,95,10,Beginner Level,27-04-2016,Musical Instruments,50-100,2-4,950,35.15,351.5
Coach Guitar - Amazing New Way To Learn Guitar With Colors,True,50,12,All Levels,27-12-2016,Musical Instruments,0-50,2-4,600,18.5,222.0
Mastering the Art of Guitar Chords,True,20,78,Beginner Level,18-11-2013,Musical Instruments,0-50,0-2,1560,7.4,577.2
30 Day Guitar Jump Start for Success,True,105,31,Beginner Level,24-05-2017,Musical Instruments,100-150,2-4,3255,38.85,1204.3500000000001
Learn to Play Bassoon: Beginner to Pro in Under Four Hours!,True,50,205,Beginner Level,15-04-2015,Musical Instruments,0-50,4-6,10250,18.5,3792.5
The 7 Day Guitar Method,True,20,213,All Levels,26-10-2015,Musical Instruments,0-50,2-4,4260,7.4,1576.2
Instant Harmonica - play Star Wars + the Lion Sleeps now!,True,40,33,All Levels,13-08-2016,Musical Instruments,0-50,0-2,1320,14.8,488.40000000000003
Instant harmonica - play Adele's wonderful 'Hello' today!,True,20,284,All Levels,30-05-2016,Musical Instruments,0-50,0-2,5680,7.4,2101.6
Guitar Strumming 101 - Have More Fun Playing Songs You Love,True,50,8,Beginner Level,20-06-2017,Musical Instruments,0-50,0-2,400,18.5,148.0
Master Oboe Playing: Intermediate Instruction Made Simple!,True,50,98,Intermediate Level,01-01-2015,Musical Instruments,0-50,4-6,4900,18.5,1813.0
Drum Set for Beginners,True,20,119,Beginner Level,02-10-2013,Musical Instruments,0-50,2-4,2380,7.4,880.6
Guitar Lessons - Economy Picking Essentials,True,35,45,Intermediate Level,15-02-2016,Musical Instruments,0-50,0-2,1575,12.95,582.75
